"subject"	"block"	"task"	"trial"	"cue"	"key_pressed"	"is_common"	"outcome"	"is_correct"	"is_correct_nback"
4	1	"WMGNG"	1	"no-go to avoid losing"	1	0	-1	0	0
4	1	"WMGNG"	2	"no-go to avoid losing"	0	1	0	1	1
4	1	"WMGNG"	3	"go to win"	1	1	1	1	1
4	1	"WMGNG"	4	"go to win"	1	1	1	1	1
4	1	"WMGNG"	5	"go to win"	1	1	1	1	1
4	1	"WMGNG"	6	"no-go to win"	1	1	0	0	1
4	1	"WMGNG"	7	"no-go to win"	1	1	0	0	1
4	1	"WMGNG"	8	"no-go to avoid losing"	1	1	0	0	0
4	1	"WMGNG"	9	"go to win"	1	1	1	1	1
4	1	"WMGNG"	10	"go to avoid losing"	1	1	0	1	1
4	1	"WMGNG"	11	"go to win"	1	1	1	1	1
4	1	"WMGNG"	12	"no-go to avoid losing"	1	1	-1	0	1
4	1	"WMGNG"	13	"go to avoid losing"	0	0	0	0	1
4	1	"WMGNG"	14	"no-go to avoid losing"	0	0	-1	1	1
4	1	"WMGNG"	15	"go to win"	1	1	1	1	0
4	1	"WMGNG"	16	"go to avoid losing"	1	1	0	1	0
4	1	"WMGNG"	17	"go to avoid losing"	0	1	-1	0	1
4	1	"WMGNG"	18	"go to win"	1	1	1	1	1
4	1	"WMGNG"	19	"go to avoid losing"	0	1	-1	0	1
4	1	"WMGNG"	20	"go to avoid losing"	1	1	0	1	1
4	1	"WMGNG"	21	"no-go to win"	1	1	0	0	1
4	1	"WMGNG"	22	"no-go to avoid losing"	0	0	-1	1	1
4	1	"WMGNG"	23	"no-go to avoid losing"	1	1	-1	0	1
4	1	"WMGNG"	24	"go to avoid losing"	1	0	-1	1	1
4	1	"WMGNG"	25	"go to win"	1	1	1	1	1
4	1	"WMGNG"	26	"go to win"	1	0	0	1	1
4	1	"WMGNG"	27	"no-go to avoid losing"	1	1	-1	0	1
4	1	"WMGNG"	28	"no-go to avoid losing"	0	1	0	1	1
4	1	"WMGNG"	29	"no-go to win"	0	1	1	1	1
4	1	"WMGNG"	30	"no-go to avoid losing"	0	0	-1	1	0
4	1	"WMGNG"	31	"go to win"	1	1	1	1	1
4	1	"WMGNG"	32	"go to avoid losing"	1	0	-1	1	1
4	1	"WMGNG"	33	"go to win"	1	1	1	1	0
4	1	"WMGNG"	34	"go to avoid losing"	1	1	0	1	1
4	1	"WMGNG"	35	"go to avoid losing"	1	1	0	1	1
4	1	"WMGNG"	36	"no-go to win"	0	1	1	1	1
4	1	"WMGNG"	37	"no-go to avoid losing"	1	1	-1	0	1
4	1	"WMGNG"	38	"no-go to win"	0	1	1	1	1
4	1	"WMGNG"	39	"no-go to avoid losing"	0	1	0	1	1
4	1	"WMGNG"	40	"go to avoid losing"	1	1	0	1	1
4	1	"WMGNG"	41	"go to avoid losing"	1	1	0	1	1
4	1	"WMGNG"	42	"no-go to win"	0	0	0	1	1
4	1	"WMGNG"	43	"go to win"	1	1	1	1	1
4	1	"WMGNG"	44	"go to win"	1	1	1	1	1
4	1	"WMGNG"	45	"go to win"	1	1	1	1	1
4	1	"WMGNG"	46	"no-go to win"	0	0	0	1	1
4	1	"WMGNG"	47	"go to avoid losing"	1	1	0	1	1
4	1	"WMGNG"	48	"go to win"	1	1	1	1	1
4	1	"WMGNG"	49	"no-go to avoid losing"	0	1	0	1	1
4	1	"WMGNG"	50	"go to win"	1	1	1	1	0
4	1	"WMGNG"	51	"no-go to win"	0	1	1	1	1
4	1	"WMGNG"	52	"go to avoid losing"	0	0	0	0	1
4	1	"WMGNG"	53	"go to win"	1	1	1	1	1
4	1	"WMGNG"	54	"no-go to avoid losing"	0	1	0	1	1
4	1	"WMGNG"	55	"no-go to win"	0	1	1	1	1
4	1	"WMGNG"	56	"no-go to win"	0	1	1	1	1
4	1	"WMGNG"	57	"go to avoid losing"	1	0	-1	1	1
4	1	"WMGNG"	58	"no-go to avoid losing"	0	1	0	1	1
4	1	"WMGNG"	59	"no-go to avoid losing"	0	1	0	1	1
4	1	"WMGNG"	60	"go to avoid losing"	1	1	0	1	1
4	1	"WMGNG"	61	"no-go to win"	0	1	1	1	0
4	1	"WMGNG"	62	"go to avoid losing"	1	1	0	1	0
4	1	"WMGNG"	63	"no-go to win"	0	1	1	1	1
4	1	"WMGNG"	64	"no-go to win"	0	1	1	1	1
4	1	"WMGNG"	65	"go to win"	1	0	0	1	1
4	1	"WMGNG"	66	"go to avoid losing"	1	1	0	1	0
4	1	"WMGNG"	67	"no-go to win"	0	0	0	1	1
4	1	"WMGNG"	68	"no-go to win"	0	1	1	1	1
4	1	"WMGNG"	69	"no-go to avoid losing"	0	0	-1	1	1
4	1	"WMGNG"	70	"no-go to win"	0	1	1	1	1
4	1	"WMGNG"	71	"go to win"	1	1	1	1	1
4	1	"WMGNG"	72	"no-go to win"	0	1	1	1	0
4	1	"WMGNG"	73	"go to avoid losing"	1	0	-1	1	1
4	1	"WMGNG"	74	"go to avoid losing"	1	1	0	1	1
4	1	"WMGNG"	75	"go to avoid losing"	1	1	0	1	1
4	1	"WMGNG"	76	"go to win"	1	1	1	1	1
4	1	"WMGNG"	77	"go to win"	1	1	1	1	1
4	1	"WMGNG"	78	"go to avoid losing"	1	1	0	1	1
4	1	"WMGNG"	79	"no-go to avoid losing"	0	1	0	1	1
4	1	"WMGNG"	80	"no-go to win"	0	1	1	1	1
4	1	"WMGNG"	81	"go to avoid losing"	1	1	0	1	1
4	1	"WMGNG"	82	"no-go to avoid losing"	1	1	-1	0	0
4	1	"WMGNG"	83	"no-go to win"	0	1	1	1	1
4	1	"WMGNG"	84	"go to win"	1	1	1	1	1
4	1	"WMGNG"	85	"no-go to avoid losing"	0	1	0	1	0
4	1	"WMGNG"	86	"go to win"	1	1	1	1	1
4	1	"WMGNG"	87	"go to avoid losing"	1	1	0	1	1
4	1	"WMGNG"	88	"no-go to win"	0	1	1	1	1
4	1	"WMGNG"	89	"go to win"	1	1	1	1	0
4	1	"WMGNG"	90	"go to win"	1	1	1	1	1
4	1	"WMGNG"	91	"no-go to avoid losing"	0	1	0	1	1
4	1	"WMGNG"	92	"go to avoid losing"	1	0	-1	1	1
4	1	"WMGNG"	93	"no-go to avoid losing"	0	0	-1	1	0
4	1	"WMGNG"	94	"go to avoid losing"	1	1	0	1	0
4	1	"WMGNG"	95	"no-go to win"	0	0	0	1	1
4	1	"WMGNG"	96	"no-go to win"	0	0	0	1	1
4	1	"WMGNG"	97	"no-go to avoid losing"	0	1	0	1	1
4	1	"WMGNG"	98	"no-go to avoid losing"	0	1	0	1	1
4	1	"WMGNG"	99	"go to avoid losing"	1	1	0	1	1
4	1	"WMGNG"	100	"no-go to win"	0	0	0	1	1
4	1	"WMGNG"	101	"go to avoid losing"	1	1	0	1	0
4	1	"WMGNG"	102	"go to win"	1	1	1	1	1
4	1	"WMGNG"	103	"no-go to win"	0	1	1	1	0
4	1	"WMGNG"	104	"no-go to win"	0	1	1	1	1
4	1	"WMGNG"	105	"go to win"	1	1	1	1	1
4	1	"WMGNG"	106	"go to avoid losing"	1	1	0	1	1
4	1	"WMGNG"	107	"no-go to avoid losing"	0	1	0	1	1
4	1	"WMGNG"	108	"no-go to avoid losing"	0	1	0	1	1
4	1	"WMGNG"	109	"no-go to avoid losing"	0	0	-1	1	1
4	1	"WMGNG"	110	"go to avoid losing"	0	0	0	0	1
4	1	"WMGNG"	111	"no-go to avoid losing"	0	1	0	1	1
4	1	"WMGNG"	112	"no-go to avoid losing"	0	1	0	1	1
4	1	"WMGNG"	113	"no-go to avoid losing"	0	1	0	1	0
4	1	"WMGNG"	114	"go to win"	1	1	1	1	1
4	1	"WMGNG"	115	"no-go to win"	0	1	1	1	1
4	1	"WMGNG"	116	"no-go to win"	0	1	1	1	1
4	1	"WMGNG"	117	"go to win"	1	1	1	1	1
4	1	"WMGNG"	118	"go to win"	1	0	0	1	1
4	1	"WMGNG"	119	"no-go to win"	0	1	1	1	0
4	1	"WMGNG"	120	"no-go to win"	0	1	1	1	1
4	2	"GNG"	121	"no-go to avoid losing"	1	1	-1	0	NA
4	2	"GNG"	122	"no-go to avoid losing"	0	1	0	1	NA
4	2	"GNG"	123	"go to win"	1	0	0	1	NA
4	2	"GNG"	124	"no-go to avoid losing"	0	1	0	1	NA
4	2	"GNG"	125	"go to win"	0	0	1	0	NA
4	2	"GNG"	126	"go to avoid losing"	1	1	0	1	NA
4	2	"GNG"	127	"go to win"	0	1	0	0	NA
4	2	"GNG"	128	"go to avoid losing"	1	1	0	1	NA
4	2	"GNG"	129	"no-go to win"	1	0	1	0	NA
4	2	"GNG"	130	"go to win"	0	1	0	0	NA
4	2	"GNG"	131	"no-go to avoid losing"	0	1	0	1	NA
4	2	"GNG"	132	"go to win"	0	1	0	0	NA
4	2	"GNG"	133	"no-go to avoid losing"	0	1	0	1	NA
4	2	"GNG"	134	"go to win"	1	1	1	1	NA
4	2	"GNG"	135	"no-go to avoid losing"	0	1	0	1	NA
4	2	"GNG"	136	"go to win"	1	1	1	1	NA
4	2	"GNG"	137	"go to avoid losing"	0	1	-1	0	NA
4	2	"GNG"	138	"no-go to avoid losing"	0	1	0	1	NA
4	2	"GNG"	139	"no-go to avoid losing"	0	1	0	1	NA
4	2	"GNG"	140	"no-go to win"	0	1	1	1	NA
4	2	"GNG"	141	"no-go to avoid losing"	0	0	-1	1	NA
4	2	"GNG"	142	"no-go to win"	0	1	1	1	NA
4	2	"GNG"	143	"no-go to avoid losing"	0	1	0	1	NA
4	2	"GNG"	144	"no-go to win"	0	1	1	1	NA
4	2	"GNG"	145	"go to avoid losing"	1	1	0	1	NA
4	2	"GNG"	146	"go to win"	1	0	0	1	NA
4	2	"GNG"	147	"go to win"	1	1	1	1	NA
4	2	"GNG"	148	"go to avoid losing"	1	1	0	1	NA
4	2	"GNG"	149	"no-go to win"	0	0	0	1	NA
4	2	"GNG"	150	"no-go to win"	0	1	1	1	NA
4	2	"GNG"	151	"go to avoid losing"	1	1	0	1	NA
4	2	"GNG"	152	"go to win"	1	1	1	1	NA
4	2	"GNG"	153	"no-go to avoid losing"	0	1	0	1	NA
4	2	"GNG"	154	"no-go to avoid losing"	0	1	0	1	NA
4	2	"GNG"	155	"go to avoid losing"	1	1	0	1	NA
4	2	"GNG"	156	"no-go to win"	0	1	1	1	NA
4	2	"GNG"	157	"go to win"	1	0	0	1	NA
4	2	"GNG"	158	"go to win"	1	1	1	1	NA
4	2	"GNG"	159	"no-go to win"	0	0	0	1	NA
4	2	"GNG"	160	"no-go to win"	0	1	1	1	NA
4	2	"GNG"	161	"go to avoid losing"	1	1	0	1	NA
4	2	"GNG"	162	"go to avoid losing"	1	1	0	1	NA
4	2	"GNG"	163	"no-go to win"	0	1	1	1	NA
4	2	"GNG"	164	"go to win"	1	1	1	1	NA
4	2	"GNG"	165	"no-go to avoid losing"	0	1	0	1	NA
4	2	"GNG"	166	"go to win"	1	1	1	1	NA
4	2	"GNG"	167	"no-go to win"	0	1	1	1	NA
4	2	"GNG"	168	"go to win"	1	0	0	1	NA
4	2	"GNG"	169	"no-go to avoid losing"	0	1	0	1	NA
4	2	"GNG"	170	"go to avoid losing"	1	1	0	1	NA
4	2	"GNG"	171	"no-go to win"	0	0	0	1	NA
4	2	"GNG"	172	"go to avoid losing"	1	1	0	1	NA
4	2	"GNG"	173	"no-go to win"	0	1	1	1	NA
4	2	"GNG"	174	"go to win"	1	1	1	1	NA
4	2	"GNG"	175	"go to win"	1	0	0	1	NA
4	2	"GNG"	176	"go to avoid losing"	1	0	-1	1	NA
4	2	"GNG"	177	"go to avoid losing"	1	1	0	1	NA
4	2	"GNG"	178	"no-go to avoid losing"	0	1	0	1	NA
4	2	"GNG"	179	"no-go to avoid losing"	0	1	0	1	NA
4	2	"GNG"	180	"no-go to win"	0	1	1	1	NA
4	2	"GNG"	181	"go to avoid losing"	0	1	-1	0	NA
4	2	"GNG"	182	"no-go to win"	0	1	1	1	NA
4	2	"GNG"	183	"go to win"	1	0	0	1	NA
